,cc-pwCV5Z,aug-cc-pvt+dz,aug-pc-3,Def2-TZVP,Def2-QZVP,aug-cc-pvd+dz,Def2-TZVPPD,Def2-QZVPPD,Def2-SVP,aug-pc-0,aug-cc-pv5+dz,aug-pc-4,cc-pwCVTZ,cc-pwCVQZ,aug-pc-1,aug-cc-pvqz,cc-pwCVDZ,aug-cc-pvtz,aug-pc-2,aug-cc-pvq+dz,aug-cc-pv5z,aug-cc-pvdz
01_H.out,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
02_He.out,0.0,-0.004384597,-0.00441399,-0.004224515,-0.004410986,-0.004195726,-0.004360154,-0.004413166,-0.004303101,-0.000713862,-0.004420981,-0.004420453,0.0,0.0,-0.004220553,-0.004420397,0.0,-0.004384597,-0.004345877,-0.004420397,-0.004420981,-0.004195726
03_Li.out,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
04_Be.out,-0.005804672,-0.00548134,-0.005680867,-0.005431974,-0.00550662,-0.004984039,-0.005436881,-0.00550662,-0.00398329,-0.003569511,0.0,-0.005738047,-0.005738053,-0.005795135,-0.004564518,-0.005801183,-0.005504589,-0.005483754,-0.005017555,-0.005801088,-0.005807485,-0.004984462
05_B.out,-0.009122909,-0.008701372,-0.009018081,-0.008438865,-0.008952338,-0.007466408,-0.008435152,-0.008948028,-0.007245485,-0.003493027,-0.009124051,-0.009098436,-0.009002664,-0.009110302,-0.007155476,-0.009111697,-0.008304175,-0.008701372,-0.008123464,-0.009111697,-0.009124051,-0.007466408
06_C.out,-0.011636838,-0.011274002,-0.011541794,-0.010975815,-0.011469576,-0.009515424,-0.010959429,-0.011465253,-0.009067826,-0.002534563,-0.011634461,-0.011621094,-0.011496973,-0.011612989,-0.00945396,-0.011611516,-0.010416891,-0.011274002,-0.010749744,-0.011611516,-0.011634461,-0.009515424
07_N.out,-0.013454586,-0.013114359,-0.013366391,-0.012804153,-0.013273299,-0.01106008,-0.012787029,-0.013272773,-0.010650538,-0.001244887,-0.013451848,-0.013447943,-0.01328609,-0.013417401,-0.01103456,-0.013413858,-0.011859034,-0.013114359,-0.012663957,-0.013413858,-0.013451848,-0.01106008
08_O.out,-0.01830249,-0.017825355,-0.018143811,-0.017328924,-0.018023406,-0.01524564,-0.017364699,-0.018030545,-0.014320018,-0.003615431,-0.018305889,-0.018295576,-0.017896642,-0.018208222,-0.014975219,-0.018225004,-0.015498608,-0.017825355,-0.017306318,-0.018225004,-0.018305889,-0.01524564
09_F.out,-0.022198974,-0.0215917,-0.022020975,-0.020876067,-0.021833119,-0.018778838,-0.021003425,-0.021856682,-0.017404424,-0.005276256,-0.022214449,-0.022198327,-0.021542204,-0.022053596,-0.017959284,-0.02209351,-0.018034398,-0.0215917,-0.021026828,-0.02209351,-0.022214449,-0.018778838
10_Ne.out,-0.025433838,-0.024701739,-0.0252282,-0.023742666,-0.02481366,-0.02179408,-0.024013492,-0.02486425,-0.019324386,-0.006434503,-0.02547661,-0.025450914,-0.024501933,-0.025231923,-0.020080675,-0.025318534,-0.019618075,-0.024701739,-0.02394617,-0.025318534,-0.02547661,-0.02179408
